Country,KDI_Pop_2012,KDI_GNIT_2012,KDI_GNIP_2012,KDI_PPPT_2012,KDI_PPPP_2012,KDI_GDP_2012,SR_NH_1993_2002,SR_NH_2003_2012,SR_EPI_1993_2002,SR_EPI_2003_2012,SR_AMM_2007_2011,SR_AMF_2007_2011,SR_RPI_2013,RMH_EP_2010,RMH_ES_2010,RMH_ET_2010,RMH_MM_2010,RMH_S_2011,RMF_PHI_2011,RMF_PAI_2011,RMF_IA_2005_2010,RMF_BS_2000,RMF_BS_2011,% of GDP,RMF_C_2011,RMF_IP_2000,RMF_IP_2011,RMF_DR_2000,RMF_DR_2011,RME_IR_2005_2007,RME_IR_2010_2012,,RME_WWGI_2011,DCI_DE_1993_2002,DCI_DE_2003_2012,DCI_DA_1993_2002,DCI_DA_2003_2012
"Korea, Rep.",50,1133.8,22670,1548.73,30970,1.6,25,21,2,1,84.2,38.86,78.47,10.18,36.78,17.92,16,64.5,0,0,40.5,65.52,74.72,75.8,99.84,10.81,11.93,115.69,133.63,25.02,28.31,-0.83,1.67,2.51,0.73,0.22,0.07
Kyrgyz Republic,6,5.5,990,12.6,2260,-2.1,2,9,2,1,304.58,130.25,54.9,10.07,35.86,8.43,71,36.44,0,2.72,0.37,5.04,0,4.1,0,0.09,0.21,81.3,0,28.22,31.61,-0.91,1.59,0.02,1.52,0.03,0.01
Lao PDR,7,8.4,1260,18.1,2730,6.1,11,5,4,1,203.33,162.42,37.66,20.82,5.72,3.18,470,54.47,4.51,4.6,0,15.97,32.73,7.86,23.27,0.23,0.44,49.23,71.1,13.81,14.85,-0.64,1.86,1.56,1.3,2.38,0.18
Lebanon,4,40.7,9190,63.7,14400,0.4,1,1,0,0,148.23,99.5,40.39,0,0,0,25,30.77,7.92,0,7.05,182.87,223.89,85.49,81.13,2.16,1.82,46.75,36.24,81.32,108.59,-0.74,1.76,0,0,0,0
Liberia,4,1.6,370,2.5,600,7.9,2,5,7,3,340.18,305.03,9.86,6.17,5.79,5.26,770,34.87,5.86,18.81,0,1.59,11.06,0.82,5.71,0,0,51.4,51.65,10.92,32.51,0.69,3.19,0.39,0.11,0,0
Lithuania,3,41.3,13850,67.9,22760,5.3,2,4,0,0,270.76,93.02,79.13,4.04,55.45,16.41,8,32.68,14.64,31.12,3.24,16.92,38.01,13.09,53.66,0.83,1.53,77.34,141.17,17.87,18.92,-0.71,1.79,0.23,0.12,0,0.05
Madagascar,22,9.7,430,21.2,950,0.3,14,29,3,2,213.32,166.32,11.61,0,0,0,240,19.7,0.25,1.23,1.77,13.97,17.43,8.78,10.93,0.61,0.58,62.84,62.7,10.55,12.7,-0.33,2.17,3.86,5.53,0.19,0.86
Malawi,16,5,320,13.9,880,-1,12,23,8,3,396.36,399.63,38.9,12.58,8.06,0.27,460,33.02,0.46,1.22,5.65,13.85,28.64,5.6,18.37,1.72,0.95,40.47,64.15,5.6,5.04,0.32,2.82,5.36,0.33,0.04,0
Malaysia,29,286.4,9800,483.2,16530,3.9,14,22,8,2,143.78,72.52,66.55,12.9,33.84,5.03,29,51.04,16.4,7.21,18.51,112.85,128.93,126.73,112.12,4.04,4.3,112.3,86.97,50.91,44.98,-0.49,2.01,1.47,0.63,0.01,0.06
Mali,15,9.8,660,17.2,1160,-4.1,7,15,4,6,356.37,293.27,18.45,6.3,2.52,1.22,540,37.38,0.99,9.23,0.54,13.74,21.86,15,21.45,0.52,0.46,109.21,98.12,15.72,13.41,-0.88,1.62,0.25,0.34,0,0
